SQ/USD,"Block, Inc_EQUITY_US"
SO/USD,Southern_EQUITY_US
SM/USD,SM Energy_EQUITY_US
SI/USD,Silvergate Capital Corporation_EQUITY_US
XRX/USD,Xerox_EQUITY_US
USD/TRY,USD/TRY_CURRENCY_
XRT/USD,SPDR S&P Retail ETF_EQUITY_US
TRU/USD,TransUnion_EQUITY_US
LTC/EUR,Litecoin / EUR_CRYPTOCURRENCY_
PRU/USD,Prudential Financial_EQUITY_US
TRV/USD,Travelers Cos_EQUITY_US
TRP/USD,TC Energy_EQUITY_US
XRP/USD,Ripple / USD_CRYPTOCURRENCY_
DTED/EUR,Deutsche Telekom_EQUITY_DE
HRL/USD,Hormel Foods_EQUITY_US
DRI/USD,Darden_EQUITY_US
TRI/USD,Thomson Reuters_EQUITY_US
DRE/USD,Duke Realty_EQUITY_US
LRC/USD,LRC/USD_CRYPTOCURRENCY_
HRB/USD,Block H&R_EQUITY_US
VK/EUR,Vallourec_EQUITY_FR
PM/USD,Philip Morris_EQUITY_US
PK/USD,Park Hotels & Resorts_EQUITY_US
PH/USD,Parker-Hannifin_EQUITY_US
PG/USD,Procter & Gamble_EQUITY_US
TUI1/EUR,TUI - EUR_EQUITY_DE
HSY/USD,Hershey_EQUITY_US
PSX/USD,Phillips_EQUITY_US
HST/USD,Host Hotels & Resorts_EQUITY_US
PUBP/EUR,Publicis_EQUITY_FR
EUR/HUF,EUR/HUF_CURRENCY_
CAD/ZAR,CAD/ZAR_CURRENCY_
TSM/USD,Taiwan Semiconductor_EQUITY_US
TSN/USD,Tyson Food_EQUITY_US
PSN/USD,Parsons Corporation_EQUITY_US
RBSL/GBP,NatWest Group PLC_EQUITY_GB
PSA/USD,Public Storage_EQUITY_US
QS/USD,QuantumScape Corporation_EQUITY_US
AUD/TRY,AUD/TRY_CURRENCY_
TRNM/EUR,Terna_EQUITY_IT
TTT/USD,ProShares UltraPro Short 20+ Year Treasury_EQUITY_US
PTR/USD,PetroChina Company Limited_EQUITY_US
EUR/TRY,EUR/TRY_CURRENCY_
XTN/USD,SPDR S&P Transportation ETF_EQUITY_US
PRY/EUR,Prysmian_EQUITY_IT
FFHCA/CAD,Fairfax Financial_EQUITY_CA
LTH/USD,"Life Time Group Holdings, Inc._EQUITY_US"
OIL - CRUDE/USD,Crude Oil_COMMODITY_
CHF/NOK,CHF/NOK_CURRENCY_
XRP/EUR,Ripple / EUR_CRYPTOCURRENCY_
LTC/USD,Litecoin / USD_CRYPTOCURRENCY_
PTC/USD,PTC_EQUITY_US
7011/JPY,"Mitsubishi Heavy Industries, Ltd._EQUITY_JP"
VZ/USD,Verizon_EQUITY_US
7012/JPY,"Kawasaki Heavy Industries, Ltd._EQUITY_JP"
8015/JPY,Toyota Tsusho Corporation_EQUITY_JP
PSM/EUR,PSM_EQUITY_DE
HUT/USD,Hut 8 Mining Corp._EQUITY_US
LUV/USD,Southwest_EQUITY_US
CRV/BTC,CRV/BTC_CRYPTOCURRENCY_
HUM/USD,Humana_EQUITY_US
DSY/EUR,Dassault System_EQUITY_FR
HUN/USD,Huntsman_EQUITY_US
DUK/USD,Duke Energy_EQUITY_US
USD/HUF,USD/HUF_CURRENCY_
WY/USD,Weyer_EQUITY_US
9020/JPY,East Japan Railway Company_EQUITY_JP
WM/USD,Waste Management_EQUITY_US
WE/USD,WeWork Inc._EQUITY_US
WB/USD,Weibo_EQUITY_US
LVS/USD,Las Vegas Sands_EQUITY_US
DVN/USD,Devon_EQUITY_US
PVH/USD,PVH_EQUITY_US
DVA/USD,DaVita_EQUITY_US
DPW/EUR,Deutsche Post_EQUITY_DE
RI/EUR,Pernod Ricard_EQUITY_FR
TS/USD,Tenaris - USD_EQUITY_US
TD/USD,Toronto Dominion Bank_EQUITY_US
U/USD,Unity Software Inc._EQUITY_US
PWR/USD,Quanta Services_EQUITY_US
8802/JPY,"Mitsubishi Estate Co., Ltd._EQUITY_JP"
SK/EUR,Seb_EQUITY_FR
7004/JPY,Hitachi Zosen Corporation_EQUITY_JP
UL/USD,Unilever PLC - USD_EQUITY_US
3407/JPY,Asahi Kasei Corporation_EQUITY_JP
UA/USD,Under Armour C_EQUITY_US
SW/EUR,Sodexo_EQUITY_FR
DXY/USD,US Dollar Index_INDEX_US
TXT/USD,Textron_EQUITY_US
TXN/USD,Texas Instruments_EQUITY_US
PXD/USD,Pioneer Resources_EQUITY_US
DXC/USD,Computer Sciences_EQUITY_US
ZS/USD,Zscaler_EQUITY_US
ZM/USD,Zoom Video Communications_EQUITY_US
ZI/USD,ZoomInfo Technologies Inc._EQUITY_US
LYV/USD,Live Nation_EQUITY_US
XYL/USD,Xylem_EQUITY_US
NOK/SEK,NOK/SEK_CURRENCY_
LYB/USD,LyondellBasell_EQUITY_US
CHF/ZAR,CHF/ZAR_CURRENCY_
XP/USD,XP_EQUITY_US
XM/USD,Qualtrics International Inc._EQUITY_US
YY/USD,JOYY Inc._EQUITY_US
CAD/NOK,CAD/NOK_CURRENCY_
GBP/NOK,GBP/NOK_CURRENCY_
LXS/EUR,Lanxess_EQUITY_DE
BMOCA/CAD,BMO_EQUITY_CA
HKD/MXN,HKD/MXN_CURRENCY_
BX/USD,Blackstone_EQUITY_US
BR/USD,Broadridge_EQUITY_US
BP/USD,BP - USD_EQUITY_US
BK/USD,Bank of NY_EQUITY_US
BG/USD,Bunge_EQUITY_US
BE/USD,Bloom Energy Corporation_EQUITY_US
BC/USD,Brunswick_EQUITY_US
BB/USD,BlackBerry_EQUITY_US
BA/USD,Boeing_EQUITY_US
TAP/USD,Molson Coors_EQUITY_US
HAS/USD,Hasbro_EQUITY_US
TAL/USD,TAL Education_EQUITY_US
GBP/JPY,GBP/JPY_CURRENCY_
TAN/USD,Invesco Solar ETF_EQUITY_US
NZD/CHF,NZD/CHF_CURRENCY_
PAA/USD,PAA_EQUITY_US
TAC/USD,TransAlta Corporation Ordinary_EQUITY_US
EN/EUR,Bouygues_EQUITY_FR
EO/EUR,Faurecia_EQUITY_FR
CP/USD,Canadian Pacific Railway_EQUITY_US
CM/USD,Canadian Imperial Bank_EQUITY_US
CL/USD,Colgate-Palmolive_EQUITY_US
CI/USD,Cigna_EQUITY_US
CF/USD,CF Industries_EQUITY_US
CE/USD,Celanese_EQUITY_US
CC/USD,Chemours_EQUITY_US
CB/USD,Chubb_EQUITY_US
LDO/EUR,Leonardo_EQUITY_IT
DBX/USD,Dropbox_EQUITY_US
CAD/JPY,CAD/JPY_CURRENCY_
PBW/USD,Invesco WilderHill Clean Energy ETF_EQUITY_US
OIL - BRENT/USD,Brent Oil_COMMODITY_
PBR/USD,Petrobras_EQUITY_US
HBI/USD,Hanesbrands_EQUITY_US
XBI/USD,SPDR S&P Biotech ETF_EQUITY_US
PBD/USD,Invesco Global Clean Energy ETF_EQUITY_US
PBF/USD,PBF Energy_EQUITY_US
TTEF/EUR,TotalEnergies SE_EQUITY_FR
FRP/EUR,Valeo_EQUITY_FR
HEID/EUR,Heidelbergcement_EQUITY_DE
LEO/EUR,Leoni_EQUITY_DE
TENM/EUR,Tenaris - EUR_EQUITY_IT
TEF/EUR,Telefonica_EQUITY_ES
BAND/USDT,BAND/USDT_CRYPTOCURRENCY_
PEAK/USD,Healthpeak_EQUITY_US
SEK/RUB,SEK/RUB_CURRENCY_
HER/EUR,Hera_EQUITY_IT
HCA/USD,HCA Healthcare_EQUITY_US
AR/USD,Antero Resources_EQUITY_US
AN/USD,AutoNation_EQUITY_US
AG/USD,First Majestic Silver Corp._EQUITY_US
LINK/USDT,ChainLink / Tether_CRYPTOCURRENCY_
AA/USD,Alcoa_EQUITY_US
DBK/EUR,Deutsche Bank_EQUITY_DE
SGD/JPY,SGD/JPY_CURRENCY_
PBB/EUR,PBB_EQUITY_DE
GBP/RUB,GBP/RUB_CURRENCY_
DDS/USD,Dillards_EQUITY_US
TDG/USD,Transdigm_EQUITY_US
TDC/USD,Teradata_EQUITY_US
HDB/USD,HDFC Bank_EQUITY_US
DAI/USDT,DAI/USDT_CRYPTOCURRENCY_
FL/USD,Foot Locker_EQUITY_US
